location,target_end_date,horizon,wis,model_id,target,reference_date
denver,2026-01-31,1,0.6692210828417751,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
mesa,2026-01-31,1,1.190359448925486,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
colorado-springs,2026-01-31,1,0.854997576971024,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
weld,2026-01-31,1,0.327050192143875,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
boulder,2026-01-31,1,1.5987181807036537,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
larimer,2026-01-31,1,0.8484163837198095,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
colorado,2026-01-31,1,0.7639584041667258,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
savannah,2026-01-31,1,2.199752331756671,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
floyd,2026-01-31,1,1.2687021290547946,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
hall,2026-01-31,1,0.7832631150499778,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
marietta,2026-01-31,1,0.650649778665398,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
macon,2026-01-31,1,1.247237031504632,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
henry,2026-01-31,1,0.6444885549725637,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
cherokee,2026-01-31,1,1.2615390103899946,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
athens,2026-01-31,1,0.5071100448529603,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
south-augusta,2026-01-31,1,1.4062763317149451,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
columbus,2026-01-31,1,2.8362020722416563,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
la-grange,2026-01-31,1,1.4649989332676598,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
georgia,2026-01-31,1,0.988966995447938,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
indianapolis,2026-01-31,1,2.0037028464854134,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
indiana,2026-01-31,1,1.8798241548994072,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
bangor,2026-01-31,1,0.854997576971024,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
portland,2026-01-31,1,0.8222097058521455,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
maine,2026-01-31,1,1.4282441600176805,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
baltimore,2026-01-31,1,0.38989177830392635,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
frederick,2026-01-31,1,0.7004588063862522,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
montgomery,2026-01-31,1,0.5777172895233837,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
harford,2026-01-31,1,0.37919417096623986,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
maryland,2026-01-31,1,0.5777172895233837,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
worcester,2026-01-31,1,1.0921565776039477,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
pittsfield,2026-01-31,1,0.9080599212392154,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
boston,2026-01-31,1,0.5362324598314049,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
springfield,2026-01-31,1,1.0368491901943193,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
new-bedford,2026-01-31,1,0.7703805828188417,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
lynn,2026-01-31,1,0.9080599212392154,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
massachusetts,2026-01-31,1,0.7256983908031316,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
st-paul,2026-01-31,1,0.5957410984766681,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
duluth,2026-01-31,1,0.5717414398231093,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
minneapolis,2026-01-31,1,0.7256983908031316,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
st-cloud,2026-01-31,1,2.1918553819534505,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rochester,2026-01-31,1,4.200094345388471,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
minnesota,2026-01-31,1,1.2758732728543167,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
columbia,2026-01-31,1,1.4062763317149451,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
greenville,2026-01-31,1,1.6062087690982283,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
florence,2026-01-31,1,2.358594259263164,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
charleston,2026-01-31,1,2.9018905578484016,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rock-hill,2026-01-31,1,0.7447693202709414,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
horry,2026-01-31,1,1.6437553080269414,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
south-carolina,2026-01-31,1,2.050486795093887,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
houston,2026-01-31,1,0.619992741508529,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
san-antonio,2026-01-31,1,4.763315445442779,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
beaumont,2026-01-31,1,1.5093328165232605,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
