model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.025,quantile_0.975,coverage_95,prediction_category
ACCIDDA-InfluPaint,denver,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.64,0.4672640785574913,2.5888912677764893,1,on-target
ACCIDDA-InfluPaint,denver,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.57,0.3330492861568928,3.064955770969391,1,on-target
ACCIDDA-InfluPaint,denver,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.74,0.1517495773732662,2.956657290458679,1,on-target
ACCIDDA-InfluPaint,denver,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.1,0.1181898489594459,2.5337538719177246,1,on-target
ACCIDDA-InfluPaint,mesa,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.42,1.144201323390007,4.095020353794098,1,on-target
ACCIDDA-InfluPaint,mesa,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.34,0.5227329805493355,3.425648123025894,1,on-target
ACCIDDA-InfluPaint,mesa,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.71,0.1355789862573146,2.495314836502075,1,on-target
ACCIDDA-InfluPaint,mesa,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.06,0.0741898529231548,1.948158159852028,0,over
ACCIDDA-InfluPaint,colorado-springs,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.93,0.7896878644824028,3.2378721237182617,1,on-target
ACCIDDA-InfluPaint,colorado-springs,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.13,0.5400928482413292,3.005040943622589,1,on-target
ACCIDDA-InfluPaint,colorado-springs,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.34,0.3356977552175522,3.117615044116974,1,on-target
ACCIDDA-InfluPaint,colorado-springs,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.64,0.2788647077977657,3.6398884654045105,1,on-target
ACCIDDA-InfluPaint,weld,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.04,0.839736670255661,2.608190178871155,1,on-target
ACCIDDA-InfluPaint,weld,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.64,0.4600175283849239,2.538681209087372,1,on-target
ACCIDDA-InfluPaint,weld,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,0.6013465598225594,2.990619391202926,1,on-target
ACCIDDA-InfluPaint,weld,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.8,0.3338353894650936,3.117079943418503,1,on-target
ACCIDDA-InfluPaint,boulder,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.98,1.265968695282936,3.7976450324058537,1,on-target
ACCIDDA-InfluPaint,boulder,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.4,1.0431078225374222,4.600292503833771,1,on-target
ACCIDDA-InfluPaint,boulder,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.72,0.871467836201191,6.321300983428955,1,on-target
ACCIDDA-InfluPaint,boulder,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.09,0.5880790278315544,8.064968168735504,1,on-target
ACCIDDA-InfluPaint,larimer,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.92,0.9922351986169816,3.722168862819672,1,on-target
ACCIDDA-InfluPaint,larimer,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.88,0.9121586829423904,4.552283823490143,1,on-target
ACCIDDA-InfluPaint,larimer,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.11,0.4809922464191913,4.8224363923072815,1,on-target
ACCIDDA-InfluPaint,larimer,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.2,0.5117189213633537,5.6855772733688354,1,on-target
ACCIDDA-InfluPaint,colorado,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.79,1.679713174700737,4.902630567550659,1,on-target
ACCIDDA-InfluPaint,colorado,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.82,0.8489403501152992,4.677867412567139,1,on-target
ACCIDDA-InfluPaint,colorado,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.98,0.4783525802195072,4.897000789642334,1,on-target
ACCIDDA-InfluPaint,colorado,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.29,0.2556150406599045,4.9521437883377075,1,on-target
ACCIDDA-InfluPaint,savannah,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.76,1.1894906759262085,3.179662436246872,0,over
ACCIDDA-InfluPaint,savannah,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.03,0.5749859735369682,2.978317618370056,0,over
ACCIDDA-InfluPaint,savannah,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.66,0.0794708747416734,2.1222184896469116,0,over
ACCIDDA-InfluPaint,savannah,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.13,0.0445779506117105,1.7987374514341354,0,over
ACCIDDA-InfluPaint,floyd,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.53,0.7014857828617096,2.95302751660347,1,on-target
ACCIDDA-InfluPaint,floyd,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.4,0.3994203060865402,3.2699067890644073,1,on-target
ACCIDDA-InfluPaint,floyd,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.05,0.1254768762737512,3.605696052312851,1,on-target
