model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.25,quantile_0.75,coverage_50
ACCIDDA-InfluPaint,denver,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.64,0.8979974985122681,1.595485955476761,0
ACCIDDA-InfluPaint,denver,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.57,0.7597125470638275,1.494240403175354,0
ACCIDDA-InfluPaint,denver,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.74,0.5402105450630188,1.420132339000702,0
ACCIDDA-InfluPaint,denver,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.1,0.4533872678875923,1.2828552126884465,0
ACCIDDA-InfluPaint,mesa,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.42,2.0470784306526184,2.928930401802063,1
ACCIDDA-InfluPaint,mesa,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.34,1.3461889028549194,2.2731410861015324,0
ACCIDDA-InfluPaint,mesa,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.71,0.551561564207077,1.393736183643341,0
ACCIDDA-InfluPaint,mesa,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.06,0.3467543125152588,0.9984204471111298,0
ACCIDDA-InfluPaint,colorado-springs,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.93,1.3055807948112488,2.049580574035645,1
ACCIDDA-InfluPaint,colorado-springs,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.13,1.0179929733276367,1.8094418048858645,0
ACCIDDA-InfluPaint,colorado-springs,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.34,0.8060102015733719,1.6886403858661656,0
ACCIDDA-InfluPaint,colorado-springs,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.64,0.6837198585271835,1.6975573003292084,0
ACCIDDA-InfluPaint,weld,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.04,1.2878547310829165,1.980771601200104,0
ACCIDDA-InfluPaint,weld,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.64,0.9830910861492156,1.65293425321579,1
ACCIDDA-InfluPaint,weld,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,1.1025533974170685,1.9485541880130768,1
ACCIDDA-InfluPaint,weld,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.8,0.8696339130401611,1.7928446829319005,0
ACCIDDA-InfluPaint,boulder,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.98,1.8146923780441284,2.6847238540649414,0
ACCIDDA-InfluPaint,boulder,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.4,1.8080055713653564,2.973896980285645,0
ACCIDDA-InfluPaint,boulder,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.72,1.696781039237976,3.77684497833252,1
ACCIDDA-InfluPaint,boulder,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.09,1.7811586558818815,4.123871445655823,1
ACCIDDA-InfluPaint,larimer,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.92,1.7228601574897766,2.7040887475013737,1
ACCIDDA-InfluPaint,larimer,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.88,1.5798771381378174,2.834000527858734,1
ACCIDDA-InfluPaint,larimer,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.11,1.2771439850330353,2.7926079034805302,1
ACCIDDA-InfluPaint,larimer,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.2,1.3645524084568024,3.1654556989669804,1
ACCIDDA-InfluPaint,colorado,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.79,2.3741671442985535,3.392415702342987,0
