model_id,horizon,target,coverage_rate,count
ACCIDDA-InfluPaint,0,Flu ED visits pct,0.837171052631579,1216
ACCIDDA-InfluPaint,0,ILI ED visits pct,0.6875,16
ACCIDDA-InfluPaint,1,Flu ED visits pct,0.8868421052631579,1140
ACCIDDA-InfluPaint,1,ILI ED visits pct,0.8666666666666667,15
ACCIDDA-InfluPaint,2,Flu ED visits pct,0.9323308270676691,1064
ACCIDDA-InfluPaint,2,ILI ED visits pct,0.9285714285714286,14
ACCIDDA-InfluPaint,3,Flu ED visits pct,0.9453441295546559,988
ACCIDDA-InfluPaint,3,ILI ED visits pct,0.9230769230769231,13
FluSight-ensemble,0,Flu ED visits pct,0.9556213017751479,338
FluSight-ensemble,1,Flu ED visits pct,0.9142011834319527,338
FluSight-ensemble,2,Flu ED visits pct,0.8738461538461538,325
FluSight-ensemble,3,Flu ED visits pct,0.8525641025641025,312
MOBS-EpyStrain_Flu,0,Flu ED visits pct,0.8877708978328174,1292
MOBS-EpyStrain_Flu,1,Flu ED visits pct,0.7944078947368421,1216
MOBS-EpyStrain_Flu,2,Flu ED visits pct,0.7052631578947368,1140
MOBS-EpyStrain_Flu,3,Flu ED visits pct,0.6560150375939849,1064
NAU-Copycat,0,Flu ED visits pct,0.8160535117056856,1794
NAU-Copycat,0,ILI ED visits pct,1,4
NAU-Copycat,1,Flu ED visits pct,0.7351571594877765,1718
NAU-Copycat,1,ILI ED visits pct,1,4
NAU-Copycat,2,Flu ED visits pct,0.7149817295980512,1642
NAU-Copycat,2,ILI ED visits pct,1,4
NAU-Copycat,3,Flu ED visits pct,0.7343550446998723,1566
NAU-Copycat,3,ILI ED visits pct,1,4
NAU-INFLAenza,0,Flu ED visits pct,0.9322033898305084,1652
NAU-INFLAenza,0,ILI ED visits pct,0.8571428571428571,21
NAU-INFLAenza,1,Flu ED visits pct,0.9067258883248731,1576
NAU-INFLAenza,1,ILI ED visits pct,0.9,20
NAU-INFLAenza,2,Flu ED visits pct,0.9073333333333333,1500
NAU-INFLAenza,2,ILI ED visits pct,0.8947368421052632,19
NAU-INFLAenza,3,Flu ED visits pct,0.9241573033707865,1424
NAU-INFLAenza,3,ILI ED visits pct,0.9444444444444444,18
UMass-SAR,0,Flu ED visits pct,0.7891483516483516,1456
UMass-SAR,1,Flu ED visits pct,0.8675305975521959,1389
UMass-SAR,2,Flu ED visits pct,0.9039334341906202,1322
UMass-SAR,3,Flu ED visits pct,0.9123505976095617,1255
UMass-alloy,0,Flu ED visits pct,0.9808584686774942,1724
UMass-alloy,0,ILI ED visits pct,0.9565217391304348,23
UMass-alloy,1,Flu ED visits pct,0.9702669902912622,1648
UMass-alloy,1,ILI ED visits pct,0.9545454545454546,22
UMass-alloy,2,Flu ED visits pct,0.9815521628498728,1572
UMass-alloy,2,ILI ED visits pct,0.9523809523809523,21
UMass-alloy,3,Flu ED visits pct,0.9766042780748663,1496
UMass-alloy,3,ILI ED visits pct,0.95,20
UT-GBQR,0,Flu ED visits pct,0.892987012987013,1925
UT-GBQR,0,ILI ED visits pct,0.8148148148148148,27
UT-GBQR,1,Flu ED visits pct,0.8426176311519741,1849
UT-GBQR,1,ILI ED visits pct,0.6153846153846154,26
UT-GBQR,2,Flu ED visits pct,0.7980823463056965,1773
UT-GBQR,2,ILI ED visits pct,0.44,25
UT-GBQR,3,Flu ED visits pct,0.769593400117855,1697
UT-GBQR,3,ILI ED visits pct,0.5,24
VTSanghani-PRIME,0,Flu ED visits pct,0.6537433155080213,1496
VTSanghani-PRIME,0,ILI ED visits pct,1,19
VTSanghani-PRIME,1,Flu ED visits pct,0.6654929577464789,1420
VTSanghani-PRIME,1,ILI ED visits pct,1,19
VTSanghani-PRIME,2,Flu ED visits pct,0.7046130952380952,1344
VTSanghani-PRIME,2,ILI ED visits pct,1,18
VTSanghani-PRIME,3,Flu ED visits pct,0.7539432176656151,1268
VTSanghani-PRIME,3,ILI ED visits pct,1,17
epiENGAGE-GBQR,0,Flu ED visits pct,0.9767441860465116,215
epiENGAGE-GBQR,0,ILI ED visits pct,0.25,4
epiENGAGE-GBQR,1,Flu ED visits pct,0.8046511627906977,215
epiENGAGE-GBQR,1,ILI ED visits pct,0,4
epiENGAGE-GBQR,2,Flu ED visits pct,0.5162790697674419,215
epiENGAGE-GBQR,2,ILI ED visits pct,0,4
epiENGAGE-GBQR,3,Flu ED visits pct,0.4,215
epiENGAGE-GBQR,3,ILI ED visits pct,0.25,4
epiENGAGE-baseline,0,Flu ED visits pct,0.8408037094281299,1941
epiENGAGE-baseline,0,ILI ED visits pct,0.7777777777777778,27
epiENGAGE-baseline,1,Flu ED visits pct,0.811260053619303,1865
epiENGAGE-baseline,1,ILI ED visits pct,0.7307692307692307,26
epiENGAGE-baseline,2,Flu ED visits pct,0.7724986025712689,1789
epiENGAGE-baseline,2,ILI ED visits pct,0.72,25
epiENGAGE-baseline,3,Flu ED visits pct,0.7699941622883829,1713
epiENGAGE-baseline,3,ILI ED visits pct,0.7083333333333334,24
epiENGAGE-ensemble_mean,0,Flu ED visits pct,0.9556929417825863,1941
epiENGAGE-ensemble_mean,0,ILI ED visits pct,0.9629629629629629,27
epiENGAGE-ensemble_mean,1,Flu ED visits pct,0.88525469168900806,1865
epiENGAGE-ensemble_mean,1,ILI ED visits pct,0.8076923076923077,26
epiENGAGE-ensemble_mean,2,Flu ED visits pct,0.8636109558412521,1789
epiENGAGE-ensemble_mean,2,ILI ED visits pct,0.76,25
epiENGAGE-ensemble_mean,3,Flu ED visits pct,0.8645650904845301,1713
epiENGAGE-ensemble_mean,3,ILI ED visits pct,0.75,24
epiENGAGE-lop_norm,0,Flu ED visits pct,0.9788768675940237,1941
epiENGAGE-lop_norm,0,ILI ED visits pct,0.9629629629629629,27
epiENGAGE-lop_norm,1,Flu ED visits pct,0.9431635388739946,1865
epiENGAGE-lop_norm,1,ILI ED visits pct,0.8846153846153846,26
epiENGAGE-lop_norm,2,Flu ED visits pct,0.9312465064281722,1789
epiENGAGE-lop_norm,2,ILI ED visits pct,0.88,25
epiENGAGE-lop_norm,3,Flu ED visits pct,0.939871570344425,1713
epiENGAGE-lop_norm,3,ILI ED visits pct,0.875,24
epiforecasts-dyngam,0,Flu ED visits pct,0.9486486486486486,1850
epiforecasts-dyngam,0,ILI ED visits pct,0.8,25
epiforecasts-dyngam,1,Flu ED visits pct,0.8883878241262683,1774
epiforecasts-dyngam,1,ILI ED visits pct,0.68,25
epiforecasts-dyngam,2,Flu ED visits pct,0.8969375736160189,1698
epiforecasts-dyngam,2,ILI ED visits pct,0.625,24
epiforecasts-dyngam,3,Flu ED visits pct,0.9022379269729093,1698
epiforecasts-dyngam,3,ILI ED visits pct,0.6666666666666666,24
