location,target_end_date,horizon,wis,overprediction,underprediction,dispersion,model_id,target,reference_date
denver,2026-01-31,1,0.1500635456790526,0,0.051422110663519885,0.09864143501553273,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
mesa,2026-01-31,1,0.13593269018663304,0.0021217483944363145,0,0.13381094179219674,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
colorado-springs,2026-01-31,1,0.14156324622531738,0,0.03017843352423773,0.11138481270107967,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
weld,2026-01-31,1,0.21357828196552067,0.12317940129174129,0,0.09039888067377938,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
boulder,2026-01-31,1,0.2728415928118759,0,0.15019441339704726,0.12264717941482865,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
larimer,2026-01-31,1,0.15956933211949142,0.0238277202182346,0,0.1357416119012568,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
colorado,2026-01-31,1,0.47470972592631977,0.3308487568961249,0,0.14386096903019488,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
savannah,2026-01-31,1,1.057542839083406,0,0.9532687030898196,0.10427413599358666,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
floyd,2026-01-31,1,0.41062279012468106,0,0.3058016790284049,0.1048211110962762,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
hall,2026-01-31,1,1.0924601504868932,0.9139961065186394,0,0.17846404396825366,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
marietta,2026-01-31,1,0.17028776462707257,0.03790403895907933,0,0.13238372566799325,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
macon,2026-01-31,1,0.15802146320541705,0,0.04089074664645725,0.1171307165589598,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
henry,2026-01-31,1,0.2061994772404433,0.07165100309583873,0,0.13454847414460455,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
cherokee,2026-01-31,1,0.5074128369490306,0.310370659828186,0,0.19704217712084457,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
athens,2026-01-31,1,1.4831600781612926,1.2859443407588533,0,0.19721573740243914,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
south-augusta,2026-01-31,1,0.41487098501788255,0,0.31231031550301447,0.10256066951486803,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
columbus,2026-01-31,1,0.5190327735410796,0,0.3704804049597845,0.14855236858129506,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
la-grange,2026-01-31,1,0.27731320427523715,0,0.16456327438354487,0.11274992989169227,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
georgia,2026-01-31,1,0.2611459124584993,0,0.15197248087988957,0.10917343157860969,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
