model_id,horizon,target,mean_wis,count
ACCIDDA-InfluPaint,1,Flu ED visits pct,0.3564516483380822,1232
ACCIDDA-InfluPaint,2,Flu ED visits pct,0.3151123294561204,1232
ACCIDDA-InfluPaint,3,Flu ED visits pct,0.2740030876190407,1232
ACCIDDA-InfluPaint,4,Flu ED visits pct,0.2480389636703949,1232
FluSight-ensemble,1,Flu ED visits pct,0.27947115818142704,351
FluSight-ensemble,2,Flu ED visits pct,0.5265482408739506,351
FluSight-ensemble,3,Flu ED visits pct,0.7337974683318134,351
FluSight-ensemble,4,Flu ED visits pct,0.8276558390443365,351
MOBS-EpyStrain_Flu,1,Flu ED visits pct,0.3401204596908663,1292
MOBS-EpyStrain_Flu,2,Flu ED visits pct,0.42490248367619193,1292
MOBS-EpyStrain_Flu,3,Flu ED visits pct,0.5007530352839618,1292
MOBS-EpyStrain_Flu,4,Flu ED visits pct,0.5403341414942562,1292
NAU-Copycat,1,Flu ED visits pct,0.21643068535068857,1292
NAU-Copycat,1,ILI ED visits pct,1.6855783653769183,506
NAU-Copycat,2,Flu ED visits pct,0.3001699838104854,1368
NAU-Copycat,2,ILI ED visits pct,3.883079540130004,430
NAU-Copycat,3,Flu ED visits pct,0.35263901517500634,1444
NAU-Copycat,3,ILI ED visits pct,5.543719585071561,354
NAU-Copycat,4,Flu ED visits pct,0.44405979686763875,1514
NAU-Copycat,4,ILI ED visits pct,5.495158626294439,284
NAU-INFLAenza,1,Flu ED visits pct,0.4422597580996455,1673
NAU-INFLAenza,2,Flu ED visits pct,0.6604900651712541,1673
NAU-INFLAenza,3,Flu ED visits pct,0.5632076387957781,1673
NAU-INFLAenza,4,Flu ED visits pct,0.4645011830009048,1673
UMass-SAR,1,Flu ED visits pct,0.4570399461657187,1456
UMass-SAR,2,Flu ED visits pct,0.755667738386961,1456
UMass-SAR,3,Flu ED visits pct,0.7126118676360608,1456
UMass-SAR,4,Flu ED visits pct,0.6607972346728047,1456
UMass-alloy,1,Flu ED visits pct,0.33519177737341843,1747
UMass-alloy,2,Flu ED visits pct,0.48108012491932073,1747
UMass-alloy,3,Flu ED visits pct,0.4436318906152026,1747
UMass-alloy,4,Flu ED visits pct,0.43662425378723124,1747
UT-GBQR,1,Flu ED visits pct,0.3657991955239546,219
UT-GBQR,1,ILI ED visits pct,0.3699496551612892,1733
UT-GBQR,2,Flu ED visits pct,0.4866546157632519,148
UT-GBQR,2,ILI ED visits pct,0.6343612979987585,1804
UT-GBQR,3,Flu ED visits pct,0.5884925430934509,77
UT-GBQR,3,ILI ED visits pct,0.7891842933063167,1875
UT-GBQR,4,Flu ED visits pct,1.0264318869279836,68
UT-GBQR,4,ILI ED visits pct,0.795349841504669,1884
VTSanghani-PRIME,1,Flu ED visits pct,0.7263623438244975,1515
VTSanghani-PRIME,2,Flu ED visits pct,0.8352935695017616,1515
VTSanghani-PRIME,3,Flu ED visits pct,0.7347819815242176,1515
VTSanghani-PRIME,4,Flu ED visits pct,0.6715788764163881,1515
epiENGAGE-GBQR,1,Flu ED visits pct,0.3657991955239546,219
epiENGAGE-GBQR,2,Flu ED visits pct,0.4866546157632519,148
epiENGAGE-GBQR,2,ILI ED visits pct,2.6804171212473156,71
epiENGAGE-GBQR,3,Flu ED visits pct,0.5884925430934509,77
epiENGAGE-GBQR,3,ILI ED visits pct,4.394479677351834,142
epiENGAGE-GBQR,4,Flu ED visits pct,1.0264318869279836,68
epiENGAGE-GBQR,4,ILI ED visits pct,4.6157043163973945,151
epiENGAGE-baseline,1,Flu ED visits pct,0.6575293978867643,1968
epiENGAGE-baseline,2,Flu ED visits pct,1.0977836115509425,1968
epiENGAGE-baseline,3,Flu ED visits pct,1.3797320363830126,1968
epiENGAGE-baseline,4,Flu ED visits pct,1.4445286812155143,1968
epiENGAGE-ensemble_mean,1,Flu ED visits pct,0.3945595402215334,1968
epiENGAGE-ensemble_mean,2,Flu ED visits pct,0.7018948349818295,1968
epiENGAGE-ensemble_mean,3,Flu ED visits pct,0.8653110166272459,1968
epiENGAGE-ensemble_mean,4,Flu ED visits pct,0.8837415042176994,1968
epiENGAGE-lop_norm,1,Flu ED visits pct,0.40114101192028745,1968
epiENGAGE-lop_norm,2,Flu ED visits pct,0.6603915491932332,1968
epiENGAGE-lop_norm,3,Flu ED visits pct,0.8139340865316737,1968
epiENGAGE-lop_norm,4,Flu ED visits pct,0.8347095249474811,1968
epiforecasts-dyngam,1,Flu ED visits pct,0.43397465307350225,1875
epiforecasts-dyngam,2,Flu ED visits pct,0.7384757988437763,1875
epiforecasts-dyngam,3,Flu ED visits pct,0.8617230343678226,1875
epiforecasts-dyngam,4,Flu ED visits pct,0.8163435444222669,1875
