model_id,horizon,target,mean_wis,count
ACCIDDA-InfluPaint,1,Flu ED visits pct,0.35650322982281474,1232
ACCIDDA-InfluPaint,2,Flu ED visits pct,0.3328620779862291,1155
ACCIDDA-InfluPaint,3,Flu ED visits pct,0.30539038871468194,1078
ACCIDDA-InfluPaint,4,Flu ED visits pct,0.2913579386201181,1001
FluSight-ensemble,1,Flu ED visits pct,0.2894513346574183,338
FluSight-ensemble,2,Flu ED visits pct,0.5459449604057867,338
FluSight-ensemble,3,Flu ED visits pct,0.7902046076021844,325
FluSight-ensemble,4,Flu ED visits pct,0.9271396948744246,312
MOBS-EpyStrain_Flu,1,Flu ED visits pct,0.33987622164477066,1292
MOBS-EpyStrain_Flu,2,Flu ED visits pct,0.4468637545857785,1216
MOBS-EpyStrain_Flu,3,Flu ED visits pct,0.5578156963237727,1140
MOBS-EpyStrain_Flu,4,Flu ED visits pct,0.6405713290826244,1064
NAU-Copycat,1,Flu ED visits pct,0.2163955411065482,1292
NAU-Copycat,1,ILI ED visits pct,1.6859069783474174,506
NAU-Copycat,2,Flu ED visits pct,0.31423152596694454,1292
NAU-Copycat,2,ILI ED visits pct,3.8835627442643705,430
NAU-Copycat,3,Flu ED visits pct,0.3869261599215893,1292
NAU-Copycat,3,ILI ED visits pct,5.544008348411173,354
NAU-Copycat,4,Flu ED visits pct,0.5113439965125092,1286
NAU-Copycat,4,ILI ED visits pct,5.495275997186458,284
NAU-INFLAenza,1,Flu ED visits pct,0.4423844131213167,1673
NAU-INFLAenza,2,Flu ED visits pct,0.6904066780543345,1596
NAU-INFLAenza,3,Flu ED visits pct,0.6159109099319647,1519
NAU-INFLAenza,4,Flu ED visits pct,0.5314504017649287,1442
UMass-SAR,1,Flu ED visits pct,0.45690978024548745,1456
UMass-SAR,2,Flu ED visits pct,0.7888482934255164,1389
UMass-SAR,3,Flu ED visits pct,0.7794332951852742,1322
UMass-SAR,4,Flu ED visits pct,0.7575153155457865,1255
UMass-alloy,1,Flu ED visits pct,0.3352537373938636,1747
UMass-alloy,2,Flu ED visits pct,0.5018661818297837,1670
UMass-alloy,3,Flu ED visits pct,0.48329533586071294,1593
UMass-alloy,4,Flu ED visits pct,0.49694675154855983,1516
UT-GBQR,1,Flu ED visits pct,0.365728165589911,219
UT-GBQR,1,ILI ED visits pct,0.3699635564572754,1733
UT-GBQR,2,Flu ED visits pct,0.4865870481956843,148
UT-GBQR,2,ILI ED visits pct,0.6611066901731254,1727
UT-GBQR,3,Flu ED visits pct,0.5884925430934509,77
UT-GBQR,3,ILI ED visits pct,0.8565839854998029,1721
UT-GBQR,4,Flu ED visits pct,1.026154109150206,68
UT-GBQR,4,ILI ED visits pct,0.9005883653303385,1653
VTSanghani-PRIME,1,Flu ED visits pct,0.7259435686136431,1515
VTSanghani-PRIME,2,Flu ED visits pct,0.8719162506865457,1439
VTSanghani-PRIME,3,Flu ED visits pct,0.8026807299512311,1362
VTSanghani-PRIME,4,Flu ED visits pct,0.7712745736668205,1285
epiENGAGE-GBQR,1,Flu ED visits pct,0.365728165589911,219
epiENGAGE-GBQR,2,Flu ED visits pct,0.4865870481956843,148
epiENGAGE-GBQR,2,ILI ED visits pct,2.680745759744968,71
epiENGAGE-GBQR,3,Flu ED visits pct,0.5884925430934509,77
epiENGAGE-GBQR,3,ILI ED visits pct,4.394534450434776,142
epiENGAGE-GBQR,4,Flu ED visits pct,1.026154109150206,68
epiENGAGE-GBQR,4,ILI ED visits pct,4.615358473866121,151
epiENGAGE-baseline,1,Flu ED visits pct,0.6576970621635072,1968
epiENGAGE-baseline,2,Flu ED visits pct,1.1379699148874183,1891
epiENGAGE-baseline,3,Flu ED visits pct,1.4840616432400795,1814
epiENGAGE-baseline,4,Flu ED visits pct,1.6118685445112164,1737
epiENGAGE-ensemble_mean,1,Flu ED visits pct,0.3945748456951602,1968
epiENGAGE-ensemble_mean,2,Flu ED visits pct,0.7287842312028662,1891
epiENGAGE-ensemble_mean,3,Flu ED visits pct,0.934724319579174,1814
epiENGAGE-ensemble_mean,4,Flu ED visits pct,0.9941819517286616,1737
epiENGAGE-lop_norm,1,Flu ED visits pct,0.4011571378522439,1968
epiENGAGE-lop_norm,2,Flu ED visits pct,0.6854473066045947,1891
epiENGAGE-lop_norm,3,Flu ED visits pct,0.8788307556731709,1814
epiENGAGE-lop_norm,4,Flu ED visits pct,0.9385461357034756,1737
epiforecasts-dyngam,1,Flu ED visits pct,0.4340523904791259,1875
epiforecasts-dyngam,2,Flu ED visits pct,0.7680110924974412,1799
epiforecasts-dyngam,3,Flu ED visits pct,0.934490959218558,1722
epiforecasts-dyngam,4,Flu ED visits pct,0.885126042232663,1722
