location,target_end_date,horizon,wis,model_id,target
denver,2026-01-31,1,0.18992730578345407,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-01-31,1,0.04819411882672166,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-01-31,1,0.10740798447351367,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-01-31,1,0.44775641508555375,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-01-31,1,0.041626141186135994,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-01-31,1,0.10930732155617226,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-01-31,1,0.42866398246347676,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-01-31,1,0.1557979933239823,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-01-31,1,0.06397653680624782,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-01-31,1,0.055378018626756696,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-01-31,1,0.15105638085185044,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-01-31,1,0.054951487925960496,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-01-31,1,0.15422194813776016,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-01-31,1,0.0446602112725831,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-01-31,1,0.19612970884509912,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-01-31,1,0.5822142419784913,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-01-31,1,0.21267879652632057,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-01-31,1,0.09239620152898968,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-01-31,1,0.061660491078083385,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-01-31,1,0.06357294984265242,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-01-31,1,0.043268230303315156,ACCIDDA-InfluPaint,Flu ED visits pct
