model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.025,quantile_0.975,coverage_95
ACCIDDA-InfluPaint,denver,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.64,1.679713174700737,4.902630567550659,0
ACCIDDA-InfluPaint,denver,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.57,0.8489403501152992,4.677867412567139,1
ACCIDDA-InfluPaint,denver,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.74,0.4783525802195072,4.897000789642334,1
ACCIDDA-InfluPaint,denver,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.1,0.2556150406599045,4.9521437883377075,1
ACCIDDA-InfluPaint,mesa,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.42,1.679713174700737,4.902630567550659,1
ACCIDDA-InfluPaint,mesa,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.34,0.8489403501152992,4.677867412567139,1
ACCIDDA-InfluPaint,mesa,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.71,0.4783525802195072,4.897000789642334,1
ACCIDDA-InfluPaint,mesa,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.06,0.2556150406599045,4.9521437883377075,1
ACCIDDA-InfluPaint,colorado-springs,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.93,1.679713174700737,4.902630567550659,1
ACCIDDA-InfluPaint,colorado-springs,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.13,0.8489403501152992,4.677867412567139,1
ACCIDDA-InfluPaint,colorado-springs,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.34,0.4783525802195072,4.897000789642334,1
ACCIDDA-InfluPaint,colorado-springs,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.64,0.2556150406599045,4.9521437883377075,1
ACCIDDA-InfluPaint,weld,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.04,1.679713174700737,4.902630567550659,0
ACCIDDA-InfluPaint,weld,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.64,0.8489403501152992,4.677867412567139,1
ACCIDDA-InfluPaint,weld,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,0.4783525802195072,4.897000789642334,1
ACCIDDA-InfluPaint,weld,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.8,0.2556150406599045,4.9521437883377075,1
ACCIDDA-InfluPaint,boulder,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.98,1.679713174700737,4.902630567550659,1
ACCIDDA-InfluPaint,boulder,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.4,0.8489403501152992,4.677867412567139,1
ACCIDDA-InfluPaint,boulder,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.72,0.4783525802195072,4.897000789642334,1
ACCIDDA-InfluPaint,boulder,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.09,0.2556150406599045,4.9521437883377075,1
ACCIDDA-InfluPaint,larimer,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.92,1.679713174700737,4.902630567550659,1
ACCIDDA-InfluPaint,larimer,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.88,0.8489403501152992,4.677867412567139,1
ACCIDDA-InfluPaint,larimer,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.11,0.4783525802195072,4.897000789642334,1
ACCIDDA-InfluPaint,larimer,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.2,0.2556150406599045,4.9521437883377075,1
ACCIDDA-InfluPaint,savannah,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.76,0.5575366169214249,2.9617166817188263,0
ACCIDDA-InfluPaint,savannah,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.03,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,savannah,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.66,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,savannah,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.13,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,floyd,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.53,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,floyd,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.4,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,floyd,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.05,0.3375380672514438,6.420561790466309,1
