model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.25,quantile_0.75,coverage_50
ACCIDDA-InfluPaint,denver,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.64,2.3741671442985535,3.392415702342987,0
ACCIDDA-InfluPaint,denver,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.57,1.4282081723213196,2.7360029220581055,1
ACCIDDA-InfluPaint,denver,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.74,1.1189656555652618,2.62319278717041,1
ACCIDDA-InfluPaint,denver,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.1,0.8719721585512161,2.470735251903535,1
ACCIDDA-InfluPaint,mesa,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.42,2.3741671442985535,3.392415702342987,1
ACCIDDA-InfluPaint,mesa,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.34,1.4282081723213196,2.7360029220581055,1
ACCIDDA-InfluPaint,mesa,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.71,1.1189656555652618,2.62319278717041,1
ACCIDDA-InfluPaint,mesa,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.06,0.8719721585512161,2.470735251903535,1
ACCIDDA-InfluPaint,colorado-springs,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.93,2.3741671442985535,3.392415702342987,0
ACCIDDA-InfluPaint,colorado-springs,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.13,1.4282081723213196,2.7360029220581055,1
ACCIDDA-InfluPaint,colorado-springs,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.34,1.1189656555652618,2.62319278717041,1
ACCIDDA-InfluPaint,colorado-springs,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.64,0.8719721585512161,2.470735251903535,0
ACCIDDA-InfluPaint,weld,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.04,2.3741671442985535,3.392415702342987,0
ACCIDDA-InfluPaint,weld,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.64,1.4282081723213196,2.7360029220581055,1
ACCIDDA-InfluPaint,weld,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.6,1.1189656555652618,2.62319278717041,1
ACCIDDA-InfluPaint,weld,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,1.8,0.8719721585512161,2.470735251903535,1
ACCIDDA-InfluPaint,boulder,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.98,2.3741671442985535,3.392415702342987,1
ACCIDDA-InfluPaint,boulder,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,3.4,1.4282081723213196,2.7360029220581055,0
ACCIDDA-InfluPaint,boulder,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.72,1.1189656555652618,2.62319278717041,0
ACCIDDA-InfluPaint,boulder,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,4.09,0.8719721585512161,2.470735251903535,0
ACCIDDA-InfluPaint,larimer,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.92,2.3741671442985535,3.392415702342987,0
ACCIDDA-InfluPaint,larimer,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.88,1.4282081723213196,2.7360029220581055,1
ACCIDDA-InfluPaint,larimer,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.11,1.1189656555652618,2.62319278717041,1
ACCIDDA-InfluPaint,larimer,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.2,0.8719721585512161,2.470735251903535,1
ACCIDDA-InfluPaint,savannah,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,3.76,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,savannah,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,4.03,1.3331177532672882,2.6605039834976196,0
ACCIDDA-InfluPaint,savannah,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.66,1.1912513077259064,2.913558840751648,0
ACCIDDA-InfluPaint,savannah,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.13,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,floyd,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.53,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,floyd,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.4,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,floyd,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.05,1.1912513077259064,2.913558840751648,0
ACCIDDA-InfluPaint,floyd,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.22,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,hall,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.82,1.0427390336990356,1.830954760313034,1
ACCIDDA-InfluPaint,hall,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.54,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,hall,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.89,1.1912513077259064,2.913558840751648,1
ACCIDDA-InfluPaint,hall,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.19,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,marietta,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.61,1.0427390336990356,1.830954760313034,1
ACCIDDA-InfluPaint,marietta,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.98,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,marietta,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.81,1.1912513077259064,2.913558840751648,1
ACCIDDA-InfluPaint,marietta,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.35,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,macon,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.5,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,macon,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.1,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,macon,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.86,1.1912513077259064,2.913558840751648,1
