model_id,horizon,target,coverage_rate,count
ACCIDDA-InfluPaint,0,Flu ED visits pct,0.7757936507936508,1008
ACCIDDA-InfluPaint,1,Flu ED visits pct,0.8603174603174604,945
ACCIDDA-InfluPaint,2,Flu ED visits pct,0.9058956916099773,882
ACCIDDA-InfluPaint,3,Flu ED visits pct,0.9328449328449329,819
MOBS-EpyStrain_Flu,0,Flu ED visits pct,0.8020541549953315,1071
MOBS-EpyStrain_Flu,1,Flu ED visits pct,0.7331349206349206,1008
MOBS-EpyStrain_Flu,2,Flu ED visits pct,0.6751322751322751,945
MOBS-EpyStrain_Flu,3,Flu ED visits pct,0.6326530612244898,882
NAU-Copycat,0,Flu ED visits pct,0.7740416946872899,1487
NAU-Copycat,1,Flu ED visits pct,0.7408707865168539,1424
NAU-Copycat,2,Flu ED visits pct,0.7413666421748715,1361
NAU-Copycat,3,Flu ED visits pct,0.7711864406779662,1298
NAU-INFLAenza,0,Flu ED visits pct,0.7665684830633285,1358
NAU-INFLAenza,1,Flu ED visits pct,0.7714285714285715,1295
NAU-INFLAenza,2,Flu ED visits pct,0.7987012987012987,1232
NAU-INFLAenza,3,Flu ED visits pct,0.8195038494439693,1169
UMass-SAR,0,Flu ED visits pct,0.5874476987447699,1195
UMass-SAR,1,Flu ED visits pct,0.7324561403508771,1140
UMass-SAR,2,Flu ED visits pct,0.7815668202764977,1085
UMass-SAR,3,Flu ED visits pct,0.8174757281553398,1030
UMass-alloy,0,Flu ED visits pct,0.8663400979706088,1429
UMass-alloy,1,Flu ED visits pct,0.87701317715959,1366
UMass-alloy,2,Flu ED visits pct,0.8925556408288565,1303
UMass-alloy,3,Flu ED visits pct,0.8935483870967742,1240
UT-GBQR,0,Flu ED visits pct,0.779245283018868,1590
UT-GBQR,1,Flu ED visits pct,0.7347740667976425,1527
UT-GBQR,2,Flu ED visits pct,0.7056010928961749,1464
UT-GBQR,3,Flu ED visits pct,0.6937901498929336,1401
VTSanghani-PRIME,0,Flu ED visits pct,0.667741935483871,1240
VTSanghani-PRIME,1,Flu ED visits pct,0.6830926083262532,1177
VTSanghani-PRIME,2,Flu ED visits pct,0.7333931777378815,1114
VTSanghani-PRIME,3,Flu ED visits pct,0.7906755470980019,1051
epiENGAGE-GBQR,0,Flu ED visits pct,0.9421965317919075,173
epiENGAGE-GBQR,1,Flu ED visits pct,0.791907514450867,173
epiENGAGE-GBQR,2,Flu ED visits pct,0.5375722543352601,173
epiENGAGE-GBQR,3,Flu ED visits pct,0.4046242774566474,173
epiENGAGE-baseline,0,Flu ED visits pct,0.8215845290081097,1603
epiENGAGE-baseline,1,Flu ED visits pct,0.7909090909090909,1540
epiENGAGE-baseline,2,Flu ED visits pct,0.7664184157075152,1477
epiENGAGE-baseline,3,Flu ED visits pct,0.7616690240452617,1414
epiENGAGE-ensemble_mean,0,Flu ED visits pct,0.8752339363693076,1603
epiENGAGE-ensemble_mean,1,Flu ED visits pct,0.8324675324675325,1540
epiENGAGE-ensemble_mean,2,Flu ED visits pct,0.8232904536222072,1477
epiENGAGE-ensemble_mean,3,Flu ED visits pct,0.8203677510608204,1414
epiENGAGE-lop_norm,0,Flu ED visits pct,0.9457267623206488,1603
epiENGAGE-lop_norm,1,Flu ED visits pct,0.9337662337662338,1540
epiENGAGE-lop_norm,2,Flu ED visits pct,0.9248476641841571,1477
epiENGAGE-lop_norm,3,Flu ED visits pct,0.92998585572843,1414
epiforecasts-dyngam,0,Flu ED visits pct,0.781474233529028,1533
epiforecasts-dyngam,1,Flu ED visits pct,0.7700680272108843,1470
epiforecasts-dyngam,2,Flu ED visits pct,0.7889125799573561,1407
epiforecasts-dyngam,3,Flu ED visits pct,0.8017057569296375,1407
