location,target_end_date,horizon,reference_date,wis,model_id,target
denver,2026-01-31,1,2026-01-31,0.6002015425264838,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-01-31,1,2026-01-31,0.18608995439277762,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-01-31,1,2026-01-31,0.37125187822514116,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-01-31,1,2026-01-31,1.2002015425264836,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-01-31,1,2026-01-31,0.16385420588983435,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-01-31,1,2026-01-31,0.3768074337806968,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-01-31,1,2026-01-31,1.5874527469442947,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-01-31,1,2026-01-31,0.4549583368003367,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-01-31,1,2026-01-31,0.1602469703058402,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-01-31,1,2026-01-31,0.13691363697250689,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-01-31,1,2026-01-31,0.4382916701336701,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-01-31,1,2026-01-31,0.13580252586139577,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-01-31,1,2026-01-31,0.4494027812447812,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-01-31,1,2026-01-31,0.1102469703058402,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-01-31,1,2026-01-31,0.6011675651040344,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-01-31,1,2026-01-31,2.3774527469442948,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-01-31,1,2026-01-31,0.6633897873262562,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-01-31,1,2026-01-31,0.48831691308154007,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-01-31,1,2026-01-31,0.2066741523312198,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-01-31,1,2026-01-31,0.2122297078867754,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-01-31,1,2026-01-31,0.1007135700186094,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-01-31,1,2026-01-31,0.13726962635914475,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-01-31,1,2026-01-31,0.10341386175817915,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-01-31,1,2026-01-31,0.10293579224083162,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-01-31,1,2026-01-31,0.2988463921513823,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-01-31,1,2026-01-31,0.4288358990848066,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-01-31,1,2026-01-31,0.9856844061447515,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-01-31,1,2026-01-31,0.3255130588180488,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-01-31,1,2026-01-31,0.6056844061447513,ACCIDDA-InfluPaint,Flu ED visits pct
