model_id,horizon,target,mean_wis,count
ACCIDDA-InfluPaint,1,Flu ED visits pct,0.4073593070101462,1008
ACCIDDA-InfluPaint,2,Flu ED visits pct,0.3377897385153464,1008
ACCIDDA-InfluPaint,3,Flu ED visits pct,0.2914228035923464,1008
ACCIDDA-InfluPaint,4,Flu ED visits pct,0.2590345913872764,1008
MOBS-EpyStrain_Flu,1,Flu ED visits pct,0.39977143436341234,1071
MOBS-EpyStrain_Flu,2,Flu ED visits pct,0.4761183661980476,1071
MOBS-EpyStrain_Flu,3,Flu ED visits pct,0.5400191761252464,1071
MOBS-EpyStrain_Flu,4,Flu ED visits pct,0.5672328267390475,1071
NAU-Copycat,1,Flu ED visits pct,0.7111776768206766,1487
NAU-Copycat,2,Flu ED visits pct,1.1410829203294037,1487
NAU-Copycat,3,Flu ED visits pct,1.2920184447084178,1487
NAU-Copycat,4,Flu ED visits pct,1.1394846946484378,1487
NAU-INFLAenza,1,Flu ED visits pct,0.4143498325181074,1358
NAU-INFLAenza,2,Flu ED visits pct,0.5328844294656432,1358
NAU-INFLAenza,3,Flu ED visits pct,0.5014603477637327,1358
NAU-INFLAenza,4,Flu ED visits pct,0.44051953266660604,1358
UMass-SAR,1,Flu ED visits pct,0.5938527472945015,1195
UMass-SAR,2,Flu ED visits pct,0.887247068898677,1195
UMass-SAR,3,Flu ED visits pct,0.8000656702100839,1195
UMass-SAR,4,Flu ED visits pct,0.6941525071582534,1195
UMass-alloy,1,Flu ED visits pct,0.4590145954929552,1429
UMass-alloy,2,Flu ED visits pct,0.548733216218529,1429
UMass-alloy,3,Flu ED visits pct,0.4757129771805244,1429
UMass-alloy,4,Flu ED visits pct,0.4579550457607689,1429
UT-GBQR,1,Flu ED visits pct,0.525359033076043,1590
UT-GBQR,2,Flu ED visits pct,0.6991825627481614,1590
UT-GBQR,3,Flu ED visits pct,0.8211926518565367,1590
UT-GBQR,4,Flu ED visits pct,0.8195372336696234,1590
VTSanghani-PRIME,1,Flu ED visits pct,0.7687173624307347,1240
VTSanghani-PRIME,2,Flu ED visits pct,0.8337383908988026,1240
VTSanghani-PRIME,3,Flu ED visits pct,0.7079703042810197,1240
VTSanghani-PRIME,4,Flu ED visits pct,0.6420198660944896,1240
epiENGAGE-GBQR,1,Flu ED visits pct,0.5287225222643491,173
epiENGAGE-GBQR,2,Flu ED visits pct,1.2956361395674496,173
epiENGAGE-GBQR,3,Flu ED visits pct,3.081086125373589,173
epiENGAGE-GBQR,4,Flu ED visits pct,3.428410934716793,173
epiENGAGE-baseline,1,Flu ED visits pct,0.7747363096677811,1603
epiENGAGE-baseline,2,Flu ED visits pct,1.148150044007583,1603
epiENGAGE-baseline,3,Flu ED visits pct,1.394836204415062,1603
epiENGAGE-baseline,4,Flu ED visits pct,1.4327352678699357,1603
epiENGAGE-ensemble_mean,1,Flu ED visits pct,0.5142804944511306,1603
epiENGAGE-ensemble_mean,2,Flu ED visits pct,0.7570204659547561,1603
epiENGAGE-ensemble_mean,3,Flu ED visits pct,0.9003308654448968,1603
epiENGAGE-ensemble_mean,4,Flu ED visits pct,0.901538621007205,1603
epiENGAGE-lop_norm,1,Flu ED visits pct,0.5048550546650297,1603
epiENGAGE-lop_norm,2,Flu ED visits pct,0.7067329397313433,1603
epiENGAGE-lop_norm,3,Flu ED visits pct,0.8307416807347033,1603
epiENGAGE-lop_norm,4,Flu ED visits pct,0.8337891235020906,1603
epiforecasts-dyngam,1,Flu ED visits pct,0.5930022683556878,1533
epiforecasts-dyngam,2,Flu ED visits pct,0.8681849604395693,1533
epiforecasts-dyngam,3,Flu ED visits pct,0.9884047461730938,1533
epiforecasts-dyngam,4,Flu ED visits pct,0.9267228755769334,1533
