model_id,horizon,mean_wis,count
ACCIDDA-InfluPaint,1,0.35650322982281474,1232
ACCIDDA-InfluPaint,2,0.3328620779862291,1155
ACCIDDA-InfluPaint,3,0.30539038871468194,1078
ACCIDDA-InfluPaint,4,0.2913579386201181,1001
FluSight-ensemble,1,0.2894513346574183,338
FluSight-ensemble,2,0.5459449604057867,338
FluSight-ensemble,3,0.7902046076021844,325
FluSight-ensemble,4,0.9271396948744246,312
MOBS-EpyStrain_Flu,1,0.33987622164477066,1292
MOBS-EpyStrain_Flu,2,0.4468637545857785,1216
MOBS-EpyStrain_Flu,3,0.5578156963237727,1140
MOBS-EpyStrain_Flu,4,0.6405713290826244,1064
NAU-Copycat,1,0.6299510401298406,1798
NAU-Copycat,2,1.2055279393629337,1722
NAU-Copycat,3,1.496043471419349,1646
NAU-Copycat,4,1.4128960272076692,1570
NAU-INFLAenza,1,0.4423844131213167,1673
NAU-INFLAenza,2,0.6904066780543345,1596
NAU-INFLAenza,3,0.6159109099319647,1519
NAU-INFLAenza,4,0.5314504017649287,1442
UMass-SAR,1,0.45690978024548745,1456
UMass-SAR,2,0.7888482934255164,1389
UMass-SAR,3,0.7794332951852742,1322
UMass-SAR,4,0.7575153155457865,1255
UMass-alloy,1,0.3352537373938636,1747
UMass-alloy,2,0.5018661818297837,1670
UMass-alloy,3,0.48329533586071294,1593
UMass-alloy,4,0.49694675154855983,1516
UT-GBQR,1,0.3694883768466439,1952
UT-GBQR,2,0.6473312730997061,1875
UT-GBQR,3,0.845102872560265,1798
UT-GBQR,4,0.9055497079100892,1721
VTSanghani-PRIME,1,0.7259435686136431,1515
VTSanghani-PRIME,2,0.8719162506865457,1439
VTSanghani-PRIME,3,0.8026807299512311,1362
VTSanghani-PRIME,4,0.7712745736668205,1285
epiENGAGE-GBQR,1,0.365728165589911,219
epiENGAGE-GBQR,2,1.1979353062778724,219
epiENGAGE-GBQR,3,3.0563370674882826,219
epiENGAGE-GBQR,4,3.5009023240913164,219
epiENGAGE-baseline,1,0.6576970621635072,1968
epiENGAGE-baseline,2,1.1379699148874183,1891
epiENGAGE-baseline,3,1.4840616432400795,1814
epiENGAGE-baseline,4,1.6118685445112164,1737
epiENGAGE-ensemble_mean,1,0.3945748456951602,1968
epiENGAGE-ensemble_mean,2,0.7287842312028662,1891
epiENGAGE-ensemble_mean,3,0.934724319579174,1814
epiENGAGE-ensemble_mean,4,0.9941819517286616,1737
epiENGAGE-lop_norm,1,0.4011571378522439,1968
epiENGAGE-lop_norm,2,0.6854473066045947,1891
epiENGAGE-lop_norm,3,0.8788307556731709,1814
epiENGAGE-lop_norm,4,0.9385461357034756,1737
epiforecasts-dyngam,1,0.4340523904791259,1875
epiforecasts-dyngam,2,0.7680110924974412,1799
epiforecasts-dyngam,3,0.934490959218558,1722
epiforecasts-dyngam,4,0.885126042232663,1722
