model_id,coverage_rate,count
ACCIDDA-InfluPaint,0.896551724137931,4466
FluSight-ensemble,0.9002284843869002,1313
MOBS-EpyStrain_Flu,0.7671901528013583,4712
NAU-Copycat,0.7522268408551069,6736
NAU-INFLAenza,0.9174959871589085,6230
UMass-SAR,0.8657322021394319,5422
UMass-alloy,0.9770150168556543,6526
UT-GBQR,0.8248026136673019,7346
VTSanghani-PRIME,0.6961256918407427,5601
epiENGAGE-GBQR,0.6643835616438356,876
epiENGAGE-baseline,0.799055330634278,7410
epiENGAGE-ensemble_mean,0.8928475033738191,7410
epiENGAGE-lop_norm,0.9483130904183535,7410
epiforecasts-dyngam,0.9067153694858107,7118
